Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01T00:00:00.000000,Australia,New South Wales,AU-NSW,339.85,392.49,54.08,54.08,opennem.org.au,false,""
2022-01-01T01:00:00.000000,Australia,New South Wales,AU-NSW,323.23,375.64,56.23,56.23,opennem.org.au,false,""
2022-01-01T02:00:00.000000,Australia,New South Wales,AU-NSW,325.84,378.24,55.92,55.92,opennem.org.au,false,""
2022-01-01T03:00:00.000000,Australia,New South Wales,AU-NSW,333.42,385.81,55.06,55.06,opennem.org.au,false,""
2022-01-01T04:00:00.000000,Australia,New South Wales,AU-NSW,358.72,410.19,52.8,52.8,opennem.org.au,false,""
2022-01-01T05:00:00.000000,Australia,New South Wales,AU-NSW,404.19,456.47,46.82,46.82,opennem.org.au,false,""
2022-01-01T06:00:00.000000,Australia,New South Wales,AU-NSW,475.31,530.15,36.52,36.52,opennem.org.au,false,""
2022-01-01T07:00:00.000000,Australia,New South Wales,AU-NSW,515.97,573.28,29.79,29.79,opennem.org.au,false,""
2022-01-01T08:00:00.000000,Australia,New South Wales,AU-NSW,612.52,672.19,16.77,16.77,opennem.org.au,false,""
2022-01-01T09:00:00.000000,Australia,New South Wales,AU-NSW,652.25,711.17,11.36,11.36,opennem.org.au,false,""
2022-01-01T10:00:00.000000,Australia,New South Wales,AU-NSW,659.6,718.17,10.39,10.39,opennem.org.au,false,""
2022-01-01T11:00:00.000000,Australia,New South Wales,AU-NSW,660.66,719.18,10.23,10.23,opennem.org.au,false,""
2022-01-01T12:00:00.000000,Australia,New South Wales,AU-NSW,666.2,725.44,9.29,9.29,opennem.org.au,false,""
2022-01-01T13:00:00.000000,Australia,New South Wales,AU-NSW,670.79,730.43,8.63,8.63,opennem.org.au,false,""
2022-01-01T14:00:00.000000,Australia,New South Wales,AU-NSW,670.99,730.71,8.56,8.56,opennem.org.au,false,""
2022-01-01T15:00:00.000000,Australia,New South Wales,AU-NSW,664.25,723.93,9.22,9.22,opennem.org.au,false,""
2022-01-01T16:00:00.000000,Australia,New South Wales,AU-NSW,656.18,715.56,10.16,10.16,opennem.org.au,false,""
2022-01-01T17:00:00.000000,Australia,New South Wales,AU-NSW,655.73,715.29,10.09,10.09,opennem.org.au,false,""
2022-01-01T18:00:00.000000,Australia,New South Wales,AU-NSW,664.34,724.59,8.88,8.88,opennem.org.au,false,""
2022-01-01T19:00:00.000000,Australia,New South Wales,AU-NSW,659.07,719.32,9.77,9.77,opennem.org.au,false,""
2022-01-01T20:00:00.000000,Australia,New South Wales,AU-NSW,557.69,614.04,24.92,24.92,opennem.org.au,false,""
2022-01-01T21:00:00.000000,Australia,New South Wales,AU-NSW,444.81,499.12,40.04,40.04,opennem.org.au,false,""
2022-01-01T22:00:00.000000,Australia,New South Wales,AU-NSW,366.85,419.29,50.45,50.45,opennem.org.au,false,""
2022-01-01T23:00:00.000000,Australia,New South Wales,AU-NSW,320.4,371.84,56.66,56.66,opennem.org.au,false,""
2022-01-02T00:00:00.000000,Australia,New South Wales,AU-NSW,305.84,357.38,58.62,58.62,opennem.org.au,false,""
2022-01-02T01:00:00.000000,Australia,New South Wales,AU-NSW,308.05,359.72,58.37,58.37,opennem.org.au,false,""
2022-01-02T02:00:00.000000,Australia,New South Wales,AU-NSW,311.14,362.94,57.97,57.97,opennem.org.au,false,""
2022-01-02T03:00:00.000000,Australia,New South Wales,AU-NSW,330.63,382.89,55.37,55.37,opennem.org.au,false,""
2022-01-02T04:00:00.000000,Australia,New South Wales,AU-NSW,365.35,418.18,50.41,50.41,opennem.org.au,false,""
2022-01-02T05:00:00.000000,Australia,New South Wales,AU-NSW,382.66,435.86,47.96,47.96,opennem.org.au,false,""
2022-01-02T06:00:00.000000,Australia,New South Wales,AU-NSW,418.56,472.41,42.82,42.82,opennem.org.au,false,""
2022-01-02T07:00:00.000000,Australia,New South Wales,AU-NSW,457.75,511.53,37.42,37.42,opennem.org.au,false,""
2022-01-02T08:00:00.000000,Australia,New South Wales,AU-NSW,510.03,564.16,29.92,29.92,opennem.org.au,false,""
2022-01-02T09:00:00.000000,Australia,New South Wales,AU-NSW,559.2,613.96,23.26,23.26,opennem.org.au,false,""
2022-01-02T10:00:00.000000,Australia,New South Wales,AU-NSW,585.38,640.57,20.22,20.22,opennem.org.au,false,""
2022-01-02T11:00:00.000000,Australia,New South Wales,AU-NSW,584.38,639.11,20.39,20.39,opennem.org.au,false,""
2022-01-02T12:00:00.000000,Australia,New South Wales,AU-NSW,569.64,623.35,22.22,22.22,opennem.org.au,false,""
2022-01-02T13:00:00.000000,Australia,New South Wales,AU-NSW,566.41,620.06,22.53,22.53,opennem.org.au,false,""
2022-01-02T14:00:00.000000,Australia,New South Wales,AU-NSW,581.02,634.76,21.07,21.07,opennem.org.au,false,""
2022-01-02T15:00:00.000000,Australia,New South Wales,AU-NSW,603.31,657.85,18.26,18.26,opennem.org.au,false,""
2022-01-02T16:00:00.000000,Australia,New South Wales,AU-NSW,615.48,669.67,17.26,17.26,opennem.org.au,false,""
2022-01-02T17:00:00.000000,Australia,New South Wales,AU-NSW,609.92,664.49,17.59,17.59,opennem.org.au,false,""
2022-01-02T18:00:00.000000,Australia,New South Wales,AU-NSW,613.07,668.58,16.76,16.76,opennem.org.au,false,""
2022-01-02T19:00:00.000000,Australia,New South Wales,AU-NSW,620.39,676.27,16.25,16.25,opennem.org.au,false,""
2022-01-02T20:00:00.000000,Australia,New South Wales,AU-NSW,511.88,565.59,31.2,31.2,opennem.org.au,false,""
2022-01-02T21:00:00.000000,Australia,New South Wales,AU-NSW,399.8,450.09,47.39,47.39,opennem.org.au,false,""
2022-01-02T22:00:00.000000,Australia,New South Wales,AU-NSW,347.76,397.6,54.24,54.24,opennem.org.au,false,""
2022-01-02T23:00:00.000000,Australia,New South Wales,AU-NSW,326.7,376.61,57.01,57.01,opennem.org.au,false,""
2022-01-03T00:00:00.000000,Australia,New South Wales,AU-NSW,313.37,363.09,58.76,58.76,opennem.org.au,false,""
2022-01-03T01:00:00.000000,Australia,New South Wales,AU-NSW,306.94,356.49,59.61,59.61,opennem.org.au,false,""
2022-01-03T02:00:00.000000,Australia,New South Wales,AU-NSW,306.39,355.98,59.68,59.68,opennem.org.au,false,""
2022-01-03T03:00:00.000000,Australia,New South Wales,AU-NSW,320.3,369.72,57.85,57.85,opennem.org.au,false,""
2022-01-03T04:00:00.000000,Australia,New South Wales,AU-NSW,328.91,378.19,56.36,56.36,opennem.org.au,false,""
2022-01-03T05:00:00.000000,Australia,New South Wales,AU-NSW,371.35,422.17,50.07,50.07,opennem.org.au,false,""
2022-01-03T06:00:00.000000,Australia,New South Wales,AU-NSW,414.95,466.75,43.81,43.81,opennem.org.au,false,""
2022-01-03T07:00:00.000000,Australia,New South Wales,AU-NSW,446.56,498.39,39.3,39.3,opennem.org.au,false,""
2022-01-03T08:00:00.000000,Australia,New South Wales,AU-NSW,500.75,552.81,31.86,31.86,opennem.org.au,false,""
2022-01-03T09:00:00.000000,Australia,New South Wales,AU-NSW,558.71,611.79,23.98,23.98,opennem.org.au,false,""
2022-01-03T10:00:00.000000,Australia,New South Wales,AU-NSW,589.77,644.19,19.83,19.83,opennem.org.au,false,""
2022-01-03T11:00:00.000000,Australia,New South Wales,AU-NSW,581.7,635.64,20.85,20.85,opennem.org.au,false,""
2022-01-03T12:00:00.000000,Australia,New South Wales,AU-NSW,576.03,629.52,21.51,21.51,opennem.org.au,false,""
2022-01-03T13:00:00.000000,Australia,New South Wales,AU-NSW,597.17,652.0,18.48,18.48,opennem.org.au,false,""
2022-01-03T14:00:00.000000,Australia,New South Wales,AU-NSW,616.4,672.55,15.77,15.77,opennem.org.au,false,""
2022-01-03T15:00:00.000000,Australia,New South Wales,AU-NSW,605.38,661.28,16.94,16.94,opennem.org.au,false,""
2022-01-03T16:00:00.000000,Australia,New South Wales,AU-NSW,599.39,653.24,18.73,18.73,opennem.org.au,false,""
2022-01-03T17:00:00.000000,Australia,New South Wales,AU-NSW,599.0,651.01,19.88,19.88,opennem.org.au,false,""
2022-01-03T18:00:00.000000,Australia,New South Wales,AU-NSW,600.3,650.23,21.01,21.01,opennem.org.au,false,""
2022-01-03T19:00:00.000000,Australia,New South Wales,AU-NSW,599.76,650.26,21.08,21.08,opennem.org.au,false,""
2022-01-03T20:00:00.000000,Australia,New South Wales,AU-NSW,496.02,545.56,34.73,34.73,opennem.org.au,false,""
2022-01-03T21:00:00.000000,Australia,New South Wales,AU-NSW,405.85,454.17,46.6,46.6,opennem.org.au,false,""
2022-01-03T22:00:00.000000,Australia,New South Wales,AU-NSW,376.37,424.69,50.48,50.48,opennem.org.au,false,""
2022-01-03T23:00:00.000000,Australia,New South Wales,AU-NSW,355.18,403.63,53.27,53.27,opennem.org.au,false,""
2022-01-04T00:00:00.000000,Australia,New South Wales,AU-NSW,349.22,398.01,54.05,54.05,opennem.org.au,false,""
2022-01-04T01:00:00.000000,Australia,New South Wales,AU-NSW,356.07,405.72,53.15,53.15,opennem.org.au,false,""
2022-01-04T02:00:00.000000,Australia,New South Wales,AU-NSW,358.45,408.53,52.83,52.83,opennem.org.au,false,""
2022-01-04T03:00:00.000000,Australia,New South Wales,AU-NSW,368.24,418.6,51.55,51.55,opennem.org.au,false,""
2022-01-04T04:00:00.000000,Australia,New South Wales,AU-NSW,383.15,433.57,49.51,49.51,opennem.org.au,false,""
2022-01-04T05:00:00.000000,Australia,New South Wales,AU-NSW,410.03,461.98,45.11,45.11,opennem.org.au,false,""
2022-01-04T06:00:00.000000,Australia,New South Wales,AU-NSW,433.38,485.58,42.0,42.0,opennem.org.au,false,""
2022-01-04T07:00:00.000000,Australia,New South Wales,AU-NSW,468.46,521.36,36.45,36.45,opennem.org.au,false,""
2022-01-04T08:00:00.000000,Australia,New South Wales,AU-NSW,530.69,584.27,28.08,28.08,opennem.org.au,false,""
2022-01-04T09:00:00.000000,Australia,New South Wales,AU-NSW,580.05,633.85,21.37,21.37,opennem.org.au,false,""
2022-01-04T10:00:00.000000,Australia,New South Wales,AU-NSW,580.25,633.72,21.24,21.24,opennem.org.au,false,""
2022-01-04T11:00:00.000000,Australia,New South Wales,AU-NSW,572.6,625.67,22.19,22.19,opennem.org.au,false,""
2022-01-04T12:00:00.000000,Australia,New South Wales,AU-NSW,576.31,629.7,21.59,21.59,opennem.org.au,false,""
2022-01-04T13:00:00.000000,Australia,New South Wales,AU-NSW,577.26,630.79,21.29,21.29,opennem.org.au,false,""
2022-01-04T14:00:00.000000,Australia,New South Wales,AU-NSW,565.77,618.71,22.66,22.66,opennem.org.au,false,""
2022-01-04T15:00:00.000000,Australia,New South Wales,AU-NSW,569.25,621.46,22.58,22.58,opennem.org.au,false,""
2022-01-04T16:00:00.000000,Australia,New South Wales,AU-NSW,572.92,624.35,22.71,22.71,opennem.org.au,false,""
2022-01-04T17:00:00.000000,Australia,New South Wales,AU-NSW,577.06,628.48,22.38,22.38,opennem.org.au,false,""
2022-01-04T18:00:00.000000,Australia,New South Wales,AU-NSW,575.3,626.88,22.5,22.5,opennem.org.au,false,""
2022-01-04T19:00:00.000000,Australia,New South Wales,AU-NSW,568.2,620.67,22.86,22.86,opennem.org.au,false,""
2022-01-04T20:00:00.000000,Australia,New South Wales,AU-NSW,502.06,553.35,31.9,31.9,opennem.org.au,false,""
2022-01-04T21:00:00.000000,Australia,New South Wales,AU-NSW,447.32,497.22,39.88,39.88,opennem.org.au,false,""
2022-01-04T22:00:00.000000,Australia,New South Wales,AU-NSW,419.97,469.7,43.62,43.62,opennem.org.au,false,""
2022-01-04T23:00:00.000000,Australia,New South Wales,AU-NSW,397.53,447.18,46.66,46.66,opennem.org.au,false,""
2022-01-05T00:00:00.000000,Australia,New South Wales,AU-NSW,399.25,449.34,46.48,46.48,opennem.org.au,false,""
2022-01-05T01:00:00.000000,Australia,New South Wales,AU-NSW,402.63,453.03,46.03,46.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2022-01-05T02:00:00.000000,Australia,New South Wales,AU-NSW,406.05,456.77,45.57,45.57,opennem.org.au,false,""
2022-01-05T03:00:00.000000,Australia,New South Wales,AU-NSW,427.78,478.95,42.73,42.73,opennem.org.au,false,""
2022-01-05T04:00:00.000000,Australia,New South Wales,AU-NSW,443.73,495.37,40.23,40.23,opennem.org.au,false,""
2022-01-05T05:00:00.000000,Australia,New South Wales,AU-NSW,455.19,506.62,38.56,38.56,opennem.org.au,false,""
2022-01-05T06:00:00.000000,Australia,New South Wales,AU-NSW,463.95,515.23,37.4,37.4,opennem.org.au,false,""
2022-01-05T07:00:00.000000,Australia,New South Wales,AU-NSW,481.83,533.19,34.83,34.83,opennem.org.au,false,""
2022-01-05T08:00:00.000000,Australia,New South Wales,AU-NSW,520.59,572.25,29.26,29.26,opennem.org.au,false,""
2022-01-05T09:00:00.000000,Australia,New South Wales,AU-NSW,548.98,600.66,25.32,25.32,opennem.org.au,false,""
2022-01-05T10:00:00.000000,Australia,New South Wales,AU-NSW,550.66,602.38,25.09,25.09,opennem.org.au,false,""
2022-01-05T11:00:00.000000,Australia,New South Wales,AU-NSW,547.74,599.26,25.43,25.43,opennem.org.au,false,""
2022-01-05T12:00:00.000000,Australia,New South Wales,AU-NSW,548.2,599.77,25.3,25.3,opennem.org.au,false,""
2022-01-05T13:00:00.000000,Australia,New South Wales,AU-NSW,559.77,612.08,23.7,23.7,opennem.org.au,false,""
2022-01-05T14:00:00.000000,Australia,New South Wales,AU-NSW,564.15,615.94,23.44,23.44,opennem.org.au,false,""
2022-01-05T15:00:00.000000,Australia,New South Wales,AU-NSW,576.55,627.99,22.37,22.37,opennem.org.au,false,""
2022-01-05T16:00:00.000000,Australia,New South Wales,AU-NSW,574.67,625.68,22.81,22.81,opennem.org.au,false,""
2022-01-05T17:00:00.000000,Australia,New South Wales,AU-NSW,566.48,617.04,23.88,23.88,opennem.org.au,false,""
2022-01-05T18:00:00.000000,Australia,New South Wales,AU-NSW,586.26,638.01,21.36,21.36,opennem.org.au,false,""
2022-01-05T19:00:00.000000,Australia,New South Wales,AU-NSW,582.85,636.22,20.92,20.92,opennem.org.au,false,""
2022-01-05T20:00:00.000000,Australia,New South Wales,AU-NSW,546.25,599.9,25.53,25.53,opennem.org.au,false,""
2022-01-05T21:00:00.000000,Australia,New South Wales,AU-NSW,478.21,529.71,35.25,35.25,opennem.org.au,false,""
2022-01-05T22:00:00.000000,Australia,New South Wales,AU-NSW,451.65,503.33,38.47,38.47,opennem.org.au,false,""
2022-01-05T23:00:00.000000,Australia,New South Wales,AU-NSW,444.46,496.43,39.82,39.82,opennem.org.au,false,""
2022-01-06T00:00:00.000000,Australia,New South Wales,AU-NSW,411.8,462.54,44.76,44.76,opennem.org.au,false,""
2022-01-06T01:00:00.000000,Australia,New South Wales,AU-NSW,386.72,436.91,47.72,47.72,opennem.org.au,false,""
