Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Germany,Germany,DE,167.31,214.95,77.99,76.77,entsoe.eu,false,""
2025-01-01T01:00:00.000000,Germany,Germany,DE,157.82,204.87,79.0,77.81,entsoe.eu,false,""
2025-01-01T02:00:00.000000,Germany,Germany,DE,159.64,207.62,78.58,76.99,entsoe.eu,false,""
2025-01-01T03:00:00.000000,Germany,Germany,DE,157.98,205.85,78.64,76.84,entsoe.eu,false,""
2025-01-01T04:00:00.000000,Germany,Germany,DE,154.49,202.21,78.89,76.81,entsoe.eu,false,""
2025-01-01T05:00:00.000000,Germany,Germany,DE,148.43,195.13,79.7,77.56,entsoe.eu,false,""
2025-01-01T06:00:00.000000,Germany,Germany,DE,142.2,188.43,80.42,78.63,entsoe.eu,false,""
2025-01-01T07:00:00.000000,Germany,Germany,DE,135.68,181.31,81.67,80.1,entsoe.eu,false,""
2025-01-01T08:00:00.000000,Germany,Germany,DE,128.83,174.29,82.57,80.51,entsoe.eu,false,""
2025-01-01T09:00:00.000000,Germany,Germany,DE,119.86,163.87,83.86,82.31,entsoe.eu,false,""
2025-01-01T10:00:00.000000,Germany,Germany,DE,114.66,158.44,84.55,82.93,entsoe.eu,false,""
2025-01-01T11:00:00.000000,Germany,Germany,DE,110.9,153.69,85.3,84.07,entsoe.eu,false,""
2025-01-01T12:00:00.000000,Germany,Germany,DE,109.92,152.08,85.44,84.15,entsoe.eu,false,""
2025-01-01T13:00:00.000000,Germany,Germany,DE,112.58,154.11,85.13,83.29,entsoe.eu,false,""
2025-01-01T14:00:00.000000,Germany,Germany,DE,114.39,154.88,84.92,83.18,entsoe.eu,false,""
2025-01-01T15:00:00.000000,Germany,Germany,DE,119.52,160.49,84.23,82.22,entsoe.eu,false,""
2025-01-01T16:00:00.000000,Germany,Germany,DE,121.1,161.8,84.19,82.24,entsoe.eu,false,""
2025-01-01T17:00:00.000000,Germany,Germany,DE,127.1,168.34,83.58,82.01,entsoe.eu,false,""
2025-01-01T18:00:00.000000,Germany,Germany,DE,131.51,173.44,83.0,81.68,entsoe.eu,false,""
2025-01-01T19:00:00.000000,Germany,Germany,DE,131.96,173.47,83.19,81.76,entsoe.eu,false,""
2025-01-01T20:00:00.000000,Germany,Germany,DE,136.04,178.0,82.76,81.35,entsoe.eu,false,""
2025-01-01T21:00:00.000000,Germany,Germany,DE,143.08,186.14,81.99,81.49,entsoe.eu,false,""
2025-01-01T22:00:00.000000,Germany,Germany,DE,144.08,187.0,81.87,81.87,entsoe.eu,false,""
2025-01-01T23:00:00.000000,Germany,Germany,DE,155.02,198.69,80.65,80.65,entsoe.eu,false,""
2025-01-02T00:00:00.000000,Germany,Germany,DE,157.63,201.43,80.61,80.61,entsoe.eu,false,""
2025-01-02T01:00:00.000000,Germany,Germany,DE,156.63,201.36,80.49,80.49,entsoe.eu,false,""
2025-01-02T02:00:00.000000,Germany,Germany,DE,158.31,203.88,80.13,80.12,entsoe.eu,false,""
2025-01-02T03:00:00.000000,Germany,Germany,DE,177.41,225.2,77.55,77.17,entsoe.eu,false,""
2025-01-02T04:00:00.000000,Germany,Germany,DE,193.02,243.44,74.92,74.53,entsoe.eu,false,""
2025-01-02T05:00:00.000000,Germany,Germany,DE,225.63,278.1,71.06,70.77,entsoe.eu,false,""
2025-01-02T06:00:00.000000,Germany,Germany,DE,270.03,326.76,65.5,65.21,entsoe.eu,false,""
2025-01-02T07:00:00.000000,Germany,Germany,DE,306.33,365.96,61.1,60.05,entsoe.eu,false,""
2025-01-02T08:00:00.000000,Germany,Germany,DE,326.08,388.55,58.51,57.57,entsoe.eu,false,""
2025-01-02T09:00:00.000000,Germany,Germany,DE,340.49,405.92,56.14,55.39,entsoe.eu,false,""
2025-01-02T10:00:00.000000,Germany,Germany,DE,340.14,406.85,55.9,54.91,entsoe.eu,false,""
2025-01-02T11:00:00.000000,Germany,Germany,DE,337.22,404.04,55.87,54.43,entsoe.eu,false,""
2025-01-02T12:00:00.000000,Germany,Germany,DE,336.45,403.05,55.91,53.96,entsoe.eu,false,""
2025-01-02T13:00:00.000000,Germany,Germany,DE,344.52,411.85,54.63,51.56,entsoe.eu,false,""
2025-01-02T14:00:00.000000,Germany,Germany,DE,346.21,411.19,54.58,50.53,entsoe.eu,false,""
2025-01-02T15:00:00.000000,Germany,Germany,DE,341.97,406.69,55.19,50.45,entsoe.eu,false,""
2025-01-02T16:00:00.000000,Germany,Germany,DE,335.53,397.54,56.23,53.88,entsoe.eu,false,""
2025-01-02T17:00:00.000000,Germany,Germany,DE,340.47,403.17,55.42,54.3,entsoe.eu,false,""
2025-01-02T18:00:00.000000,Germany,Germany,DE,330.9,393.12,56.5,55.9,entsoe.eu,false,""
2025-01-02T19:00:00.000000,Germany,Germany,DE,330.96,394.14,56.5,55.95,entsoe.eu,false,""
2025-01-02T20:00:00.000000,Germany,Germany,DE,335.66,399.71,56.67,56.32,entsoe.eu,false,""
2025-01-02T21:00:00.000000,Germany,Germany,DE,331.22,394.07,57.47,57.11,entsoe.eu,false,""
2025-01-02T22:00:00.000000,Germany,Germany,DE,317.85,379.57,59.35,58.97,entsoe.eu,false,""
2025-01-02T23:00:00.000000,Germany,Germany,DE,304.47,365.86,60.47,60.08,entsoe.eu,false,""
2025-01-03T00:00:00.000000,Germany,Germany,DE,298.2,359.03,61.4,61.02,entsoe.eu,false,""
2025-01-03T01:00:00.000000,Germany,Germany,DE,295.91,355.93,61.61,61.23,entsoe.eu,false,""
2025-01-03T02:00:00.000000,Germany,Germany,DE,293.56,353.28,61.73,61.35,entsoe.eu,false,""
2025-01-03T03:00:00.000000,Germany,Germany,DE,284.28,342.93,62.66,62.31,entsoe.eu,false,""
2025-01-03T04:00:00.000000,Germany,Germany,DE,277.85,336.0,63.13,62.78,entsoe.eu,false,""
2025-01-03T05:00:00.000000,Germany,Germany,DE,268.87,326.34,63.89,63.59,entsoe.eu,false,""
2025-01-03T06:00:00.000000,Germany,Germany,DE,262.94,319.68,65.08,64.85,entsoe.eu,false,""
2025-01-03T07:00:00.000000,Germany,Germany,DE,258.35,314.45,65.55,65.43,entsoe.eu,false,""
2025-01-03T08:00:00.000000,Germany,Germany,DE,254.13,309.47,66.08,66.07,entsoe.eu,false,""
2025-01-03T09:00:00.000000,Germany,Germany,DE,246.54,300.4,67.4,67.36,entsoe.eu,false,""
2025-01-03T10:00:00.000000,Germany,Germany,DE,234.3,286.92,68.96,68.84,entsoe.eu,false,""
2025-01-03T11:00:00.000000,Germany,Germany,DE,230.15,282.42,69.45,69.3,entsoe.eu,false,""
2025-01-03T12:00:00.000000,Germany,Germany,DE,229.84,282.26,69.42,69.28,entsoe.eu,false,""
2025-01-03T13:00:00.000000,Germany,Germany,DE,230.54,282.78,69.66,69.51,entsoe.eu,false,""
2025-01-03T14:00:00.000000,Germany,Germany,DE,247.91,301.75,67.47,67.31,entsoe.eu,false,""
2025-01-03T15:00:00.000000,Germany,Germany,DE,269.86,325.26,65.12,64.96,entsoe.eu,false,""
2025-01-03T16:00:00.000000,Germany,Germany,DE,277.19,333.03,64.03,63.79,entsoe.eu,false,""
2025-01-03T17:00:00.000000,Germany,Germany,DE,282.1,338.31,63.33,63.0,entsoe.eu,false,""
2025-01-03T18:00:00.000000,Germany,Germany,DE,289.56,345.79,63.11,62.79,entsoe.eu,false,""
2025-01-03T19:00:00.000000,Germany,Germany,DE,297.36,353.79,62.73,62.46,entsoe.eu,false,""
2025-01-03T20:00:00.000000,Germany,Germany,DE,309.51,365.54,62.14,61.86,entsoe.eu,false,""
2025-01-03T21:00:00.000000,Germany,Germany,DE,319.67,376.32,61.25,60.94,entsoe.eu,false,""
2025-01-03T22:00:00.000000,Germany,Germany,DE,333.74,390.84,60.53,60.2,entsoe.eu,false,""
2025-01-03T23:00:00.000000,Germany,Germany,DE,330.45,388.31,60.97,60.53,entsoe.eu,false,""
2025-01-04T00:00:00.000000,Germany,Germany,DE,343.91,403.07,59.44,58.9,entsoe.eu,false,""
2025-01-04T01:00:00.000000,Germany,Germany,DE,370.36,432.49,56.48,56.1,entsoe.eu,false,""
2025-01-04T02:00:00.000000,Germany,Germany,DE,396.17,461.46,53.52,52.6,entsoe.eu,false,""
2025-01-04T03:00:00.000000,Germany,Germany,DE,418.0,485.87,50.96,49.02,entsoe.eu,false,""
2025-01-04T04:00:00.000000,Germany,Germany,DE,446.38,517.39,47.59,44.84,entsoe.eu,false,""
2025-01-04T05:00:00.000000,Germany,Germany,DE,459.17,532.02,45.71,42.92,entsoe.eu,false,""
2025-01-04T06:00:00.000000,Germany,Germany,DE,463.82,538.08,44.69,41.33,entsoe.eu,false,""
2025-01-04T07:00:00.000000,Germany,Germany,DE,452.22,525.71,45.12,41.45,entsoe.eu,false,""
2025-01-04T08:00:00.000000,Germany,Germany,DE,438.35,510.61,46.5,42.81,entsoe.eu,false,""
2025-01-04T09:00:00.000000,Germany,Germany,DE,431.77,503.35,47.48,44.19,entsoe.eu,false,""
2025-01-04T10:00:00.000000,Germany,Germany,DE,417.4,487.67,49.19,46.09,entsoe.eu,false,""
2025-01-04T11:00:00.000000,Germany,Germany,DE,425.07,496.45,48.26,45.02,entsoe.eu,false,""
2025-01-04T12:00:00.000000,Germany,Germany,DE,419.99,490.61,48.44,45.06,entsoe.eu,false,""
2025-01-04T13:00:00.000000,Germany,Germany,DE,422.51,493.9,47.29,43.03,entsoe.eu,false,""
2025-01-04T14:00:00.000000,Germany,Germany,DE,420.65,490.89,46.98,41.95,entsoe.eu,false,""
2025-01-04T15:00:00.000000,Germany,Germany,DE,411.79,480.3,48.08,42.3,entsoe.eu,false,""
2025-01-04T16:00:00.000000,Germany,Germany,DE,405.3,472.29,48.85,43.15,entsoe.eu,false,""
2025-01-04T17:00:00.000000,Germany,Germany,DE,409.83,477.71,48.66,43.55,entsoe.eu,false,""
2025-01-04T18:00:00.000000,Germany,Germany,DE,414.34,483.84,47.81,42.81,entsoe.eu,false,""
2025-01-04T19:00:00.000000,Germany,Germany,DE,424.93,496.42,46.59,41.62,entsoe.eu,false,""
2025-01-04T20:00:00.000000,Germany,Germany,DE,429.54,501.11,46.86,42.53,entsoe.eu,false,""
2025-01-04T21:00:00.000000,Germany,Germany,DE,425.87,496.98,47.79,43.05,entsoe.eu,false,""
2025-01-04T22:00:00.000000,Germany,Germany,DE,428.71,500.38,47.93,43.71,entsoe.eu,false,""
2025-01-04T23:00:00.000000,Germany,Germany,DE,417.72,488.35,49.8,43.27,entsoe.eu,false,""
2025-01-05T00:00:00.000000,Germany,Germany,DE,400.67,470.85,51.54,44.5,entsoe.eu,false,""
2025-01-05T01:00:00.000000,Germany,Germany,DE,397.18,467.64,51.89,44.69,entsoe.eu,false,""
2025-01-05T02:00:00.000000,Germany,Germany,DE,389.89,460.92,52.67,44.42,entsoe.eu,false,""
2025-01-05T03:00:00.000000,Germany,Germany,DE,386.36,456.72,53.35,45.73,entsoe.eu,false,""
2025-01-05T04:00:00.000000,Germany,Germany,DE,373.3,441.44,55.15,47.98,entsoe.eu,false,""
2025-01-05T05:00:00.000000,Germany,Germany,DE,348.51,413.91,58.01,50.87,entsoe.eu,false,""
2025-01-05T06:00:00.000000,Germany,Germany,DE,332.93,395.65,59.99,54.01,entsoe.eu,false,""
2025-01-05T07:00:00.000000,Germany,Germany,DE,310.06,369.99,62.22,56.85,entsoe.eu,false,""
2025-01-05T08:00:00.000000,Germany,Germany,DE,286.03,343.23,64.82,59.71,entsoe.eu,false,""
2025-01-05T09:00:00.000000,Germany,Germany,DE,272.26,327.46,66.32,61.92,entsoe.eu,false,""
2025-01-05T10:00:00.000000,Germany,Germany,DE,245.37,298.28,69.24,64.21,entsoe.eu,false,""
