Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01T00:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.65,22.4,99.89,56.61,eSett,false,""
2021-01-01T01:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.64,22.02,99.89,55.1,eSett,false,""
2021-01-01T02:00:00.000000,Sweden,South Central Sweden,SE-SE3,2.08,22.54,99.8,54.87,eSett,false,""
2021-01-01T03:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.62,22.09,99.9,54.68,eSett,false,""
2021-01-01T04:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.65,22.26,99.89,55.06,eSett,false,""
2021-01-01T05:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.68,22.5,99.89,55.32,eSett,false,""
2021-01-01T06:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.71,22.84,99.89,55.51,eSett,false,""
2021-01-01T07:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.7,22.69,99.88,55.73,eSett,false,""
2021-01-01T08:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.7,22.76,99.88,56.67,eSett,false,""
2021-01-01T09:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.71,22.73,99.87,57.95,eSett,false,""
2021-01-01T10:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.69,22.69,99.86,59.26,eSett,false,""
2021-01-01T11:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.68,22.72,99.86,60.04,eSett,false,""
2021-01-01T12:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.72,23.04,99.85,60.33,eSett,false,""
2021-01-01T13:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.69,22.84,99.85,61.11,eSett,false,""
2021-01-01T14:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.69,22.84,99.85,61.85,eSett,false,""
2021-01-01T15:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.69,22.85,99.85,61.62,eSett,false,""
2021-01-01T16:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.65,22.68,99.86,61.51,eSett,false,""
2021-01-01T17:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.66,22.72,99.86,61.39,eSett,false,""
2021-01-01T18:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.62,22.62,99.87,60.64,eSett,false,""
2021-01-01T19:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.61,22.52,99.87,60.01,eSett,false,""
2021-01-01T20:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.57,22.1,99.87,60.13,eSett,false,""
2021-01-01T21:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.57,22.1,99.87,59.1,eSett,false,""
2021-01-01T22:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.65,22.11,99.87,57.69,eSett,false,""
2021-01-01T23:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.6,21.69,99.88,56.03,eSett,false,""
2021-01-02T00:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.62,21.99,99.89,55.8,eSett,false,""
2021-01-02T01:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.62,21.97,99.89,56.15,eSett,false,""
2021-01-02T02:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.62,21.96,99.89,56.34,eSett,false,""
2021-01-02T03:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.64,22.09,99.89,55.59,eSett,false,""
2021-01-02T04:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.66,22.31,99.89,55.26,eSett,false,""
2021-01-02T05:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.68,22.41,99.88,55.81,eSett,false,""
2021-01-02T06:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.71,22.65,99.87,56.97,eSett,false,""
2021-01-02T07:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.79,23.4,99.85,58.25,eSett,false,""
2021-01-02T08:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.77,23.3,99.85,59.85,eSett,false,""
2021-01-02T09:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.73,23.0,99.86,60.54,eSett,false,""
2021-01-02T10:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.74,23.05,99.85,60.66,eSett,false,""
2021-01-02T11:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.74,23.16,99.85,60.55,eSett,false,""
2021-01-02T12:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.78,23.5,99.85,60.66,eSett,false,""
2021-01-02T13:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.8,23.76,99.85,60.78,eSett,false,""
2021-01-02T14:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.8,23.8,99.85,61.81,eSett,false,""
2021-01-02T15:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.78,23.71,99.84,62.29,eSett,false,""
2021-01-02T16:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.8,23.98,99.84,62.53,eSett,false,""
2021-01-02T17:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.82,24.12,99.83,62.66,eSett,false,""
2021-01-02T18:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.83,24.09,99.84,61.61,eSett,false,""
2021-01-02T19:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.81,23.83,99.85,60.83,eSett,false,""
2021-01-02T20:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.8,23.71,99.85,59.57,eSett,false,""
2021-01-02T21:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.82,23.73,99.84,58.61,eSett,false,""
2021-01-02T22:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.71,22.78,99.86,58.05,eSett,false,""
2021-01-02T23:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.71,22.77,99.86,56.66,eSett,false,""
2021-01-03T00:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.63,22.16,99.89,55.26,eSett,false,""
2021-01-03T01:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.64,22.2,99.89,55.88,eSett,false,""
2021-01-03T02:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.61,22.01,99.89,55.81,eSett,false,""
2021-01-03T03:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.57,21.84,99.9,56.34,eSett,false,""
2021-01-03T04:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.59,21.98,99.9,56.01,eSett,false,""
2021-01-03T05:00:00.000000,Sweden,South Central Sweden,SE-SE3,1.6,22.08,99.9,56.28,eSett,false,""
