Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,USA,CAISO,US-CAL-CISO,157.59,217.25,64.02,48.56,caiso.com,false,""
2025-01-01T01:00:00.000000,USA,CAISO,US-CAL-CISO,205.7,272.68,53.06,38.04,caiso.com,false,""
2025-01-01T02:00:00.000000,USA,CAISO,US-CAL-CISO,211.87,280.37,51.96,37.06,caiso.com,false,""
2025-01-01T03:00:00.000000,USA,CAISO,US-CAL-CISO,217.74,288.2,50.6,35.42,caiso.com,false,""
2025-01-01T04:00:00.000000,USA,CAISO,US-CAL-CISO,224.08,296.96,48.74,33.24,caiso.com,false,""
2025-01-01T05:00:00.000000,USA,CAISO,US-CAL-CISO,231.5,306.15,47.06,31.1,caiso.com,false,""
2025-01-01T06:00:00.000000,USA,CAISO,US-CAL-CISO,235.32,310.82,46.4,30.4,caiso.com,false,""
2025-01-01T07:00:00.000000,USA,CAISO,US-CAL-CISO,242.51,318.65,45.63,29.33,caiso.com,false,""
2025-01-01T08:00:00.000000,USA,CAISO,US-CAL-CISO,233.5,307.41,48.0,31.03,caiso.com,false,""
2025-01-01T09:00:00.000000,USA,CAISO,US-CAL-CISO,236.11,310.17,47.84,30.45,caiso.com,false,""
2025-01-01T10:00:00.000000,USA,CAISO,US-CAL-CISO,234.26,309.19,47.67,29.94,caiso.com,false,""
2025-01-01T11:00:00.000000,USA,CAISO,US-CAL-CISO,237.67,313.9,46.84,28.97,caiso.com,false,""
2025-01-01T12:00:00.000000,USA,CAISO,US-CAL-CISO,236.02,312.31,47.23,29.93,caiso.com,false,""
2025-01-01T13:00:00.000000,USA,CAISO,US-CAL-CISO,234.22,310.16,47.53,30.43,caiso.com,false,""
2025-01-01T14:00:00.000000,USA,CAISO,US-CAL-CISO,228.16,303.15,48.37,31.72,caiso.com,false,""
2025-01-01T15:00:00.000000,USA,CAISO,US-CAL-CISO,204.53,273.62,54.67,38.73,caiso.com,false,""
2025-01-01T16:00:00.000000,USA,CAISO,US-CAL-CISO,116.88,167.78,74.84,60.85,caiso.com,false,""
2025-01-01T17:00:00.000000,USA,CAISO,US-CAL-CISO,81.93,125.47,82.72,69.44,caiso.com,false,""
2025-01-01T18:00:00.000000,USA,CAISO,US-CAL-CISO,72.82,115.26,84.27,70.67,caiso.com,false,""
2025-01-01T19:00:00.000000,USA,CAISO,US-CAL-CISO,74.76,117.47,83.88,69.87,caiso.com,false,""
2025-01-01T20:00:00.000000,USA,CAISO,US-CAL-CISO,75.67,117.82,83.93,70.35,caiso.com,false,""
2025-01-01T21:00:00.000000,USA,CAISO,US-CAL-CISO,70.21,111.21,85.09,71.86,caiso.com,false,""
2025-01-01T22:00:00.000000,USA,CAISO,US-CAL-CISO,79.38,122.61,82.81,69.21,caiso.com,false,""
2025-01-01T23:00:00.000000,USA,CAISO,US-CAL-CISO,101.63,149.2,77.84,63.2,caiso.com,false,""
2025-01-02T00:00:00.000000,USA,CAISO,US-CAL-CISO,173.97,232.75,62.68,45.68,caiso.com,false,""
2025-01-02T01:00:00.000000,USA,CAISO,US-CAL-CISO,187.27,247.07,59.8,43.39,caiso.com,false,""
2025-01-02T02:00:00.000000,USA,CAISO,US-CAL-CISO,186.26,245.65,60.21,44.03,caiso.com,false,""
2025-01-02T03:00:00.000000,USA,CAISO,US-CAL-CISO,190.07,250.4,59.43,43.17,caiso.com,false,""
2025-01-02T04:00:00.000000,USA,CAISO,US-CAL-CISO,191.67,252.92,58.82,42.26,caiso.com,false,""
2025-01-02T05:00:00.000000,USA,CAISO,US-CAL-CISO,199.91,262.48,57.54,40.64,caiso.com,false,""
2025-01-02T06:00:00.000000,USA,CAISO,US-CAL-CISO,206.28,270.45,56.1,38.47,caiso.com,false,""
2025-01-02T07:00:00.000000,USA,CAISO,US-CAL-CISO,206.61,272.15,55.44,37.33,caiso.com,false,""
2025-01-02T08:00:00.000000,USA,CAISO,US-CAL-CISO,217.61,286.1,52.84,34.17,caiso.com,false,""
2025-01-02T09:00:00.000000,USA,CAISO,US-CAL-CISO,217.84,286.13,53.14,33.94,caiso.com,false,""
2025-01-02T10:00:00.000000,USA,CAISO,US-CAL-CISO,216.91,285.23,53.33,33.81,caiso.com,false,""
2025-01-02T11:00:00.000000,USA,CAISO,US-CAL-CISO,219.66,288.57,52.68,33.5,caiso.com,false,""
2025-01-02T12:00:00.000000,USA,CAISO,US-CAL-CISO,219.44,288.49,52.66,33.9,caiso.com,false,""
2025-01-02T13:00:00.000000,USA,CAISO,US-CAL-CISO,215.7,283.53,53.32,35.7,caiso.com,false,""
2025-01-02T14:00:00.000000,USA,CAISO,US-CAL-CISO,203.51,269.26,54.85,38.68,caiso.com,false,""
2025-01-02T15:00:00.000000,USA,CAISO,US-CAL-CISO,195.02,258.48,57.59,42.37,caiso.com,false,""
2025-01-02T16:00:00.000000,USA,CAISO,US-CAL-CISO,132.9,185.07,71.64,58.12,caiso.com,false,""
2025-01-02T17:00:00.000000,USA,CAISO,US-CAL-CISO,100.13,145.94,78.7,66.11,caiso.com,false,""
2025-01-02T18:00:00.000000,USA,CAISO,US-CAL-CISO,89.41,133.36,80.9,68.37,caiso.com,false,""
2025-01-02T19:00:00.000000,USA,CAISO,US-CAL-CISO,90.97,135.01,80.52,67.49,caiso.com,false,""
2025-01-02T20:00:00.000000,USA,CAISO,US-CAL-CISO,86.85,130.27,81.35,68.58,caiso.com,false,""
2025-01-02T21:00:00.000000,USA,CAISO,US-CAL-CISO,81.74,124.3,82.41,69.87,caiso.com,false,""
2025-01-02T22:00:00.000000,USA,CAISO,US-CAL-CISO,84.3,127.83,81.69,69.55,caiso.com,false,""
2025-01-02T23:00:00.000000,USA,CAISO,US-CAL-CISO,116.5,166.17,74.72,60.8,caiso.com,false,""
2025-01-03T00:00:00.000000,USA,CAISO,US-CAL-CISO,194.3,256.93,57.84,42.25,caiso.com,false,""
2025-01-03T01:00:00.000000,USA,CAISO,US-CAL-CISO,212.9,278.79,53.17,38.05,caiso.com,false,""
2025-01-03T02:00:00.000000,USA,CAISO,US-CAL-CISO,213.79,279.94,53.12,38.04,caiso.com,false,""
2025-01-03T03:00:00.000000,USA,CAISO,US-CAL-CISO,216.21,283.32,52.45,37.49,caiso.com,false,""
2025-01-03T04:00:00.000000,USA,CAISO,US-CAL-CISO,221.96,290.46,51.43,36.1,caiso.com,false,""
2025-01-03T05:00:00.000000,USA,CAISO,US-CAL-CISO,228.96,299.48,49.67,33.88,caiso.com,false,""
2025-01-03T06:00:00.000000,USA,CAISO,US-CAL-CISO,236.54,308.82,48.08,31.69,caiso.com,false,""
2025-01-03T07:00:00.000000,USA,CAISO,US-CAL-CISO,244.38,318.66,46.66,29.43,caiso.com,false,""
2025-01-03T08:00:00.000000,USA,CAISO,US-CAL-CISO,250.25,325.71,45.64,28.05,caiso.com,false,""
2025-01-03T09:00:00.000000,USA,CAISO,US-CAL-CISO,251.94,328.17,45.05,27.11,caiso.com,false,""
2025-01-03T10:00:00.000000,USA,CAISO,US-CAL-CISO,249.31,325.56,45.36,27.12,caiso.com,false,""
2025-01-03T11:00:00.000000,USA,CAISO,US-CAL-CISO,249.86,327.24,44.7,26.38,caiso.com,false,""
2025-01-03T12:00:00.000000,USA,CAISO,US-CAL-CISO,245.87,323.1,45.22,27.29,caiso.com,false,""
2025-01-03T13:00:00.000000,USA,CAISO,US-CAL-CISO,243.65,320.06,45.78,28.68,caiso.com,false,""
2025-01-03T14:00:00.000000,USA,CAISO,US-CAL-CISO,229.2,301.53,48.88,32.52,caiso.com,false,""
2025-01-03T15:00:00.000000,USA,CAISO,US-CAL-CISO,219.75,289.0,51.7,36.05,caiso.com,false,""
2025-01-03T16:00:00.000000,USA,CAISO,US-CAL-CISO,194.22,259.27,57.58,43.56,caiso.com,false,""
2025-01-03T17:00:00.000000,USA,CAISO,US-CAL-CISO,175.37,236.75,61.7,48.26,caiso.com,false,""
2025-01-03T18:00:00.000000,USA,CAISO,US-CAL-CISO,151.4,207.85,66.94,53.75,caiso.com,false,""
2025-01-03T19:00:00.000000,USA,CAISO,US-CAL-CISO,130.46,182.0,71.86,58.91,caiso.com,false,""
2025-01-03T20:00:00.000000,USA,CAISO,US-CAL-CISO,121.31,170.73,73.84,61.1,caiso.com,false,""
2025-01-03T21:00:00.000000,USA,CAISO,US-CAL-CISO,123.23,173.25,73.14,59.89,caiso.com,false,""
2025-01-03T22:00:00.000000,USA,CAISO,US-CAL-CISO,131.7,183.09,71.49,58.02,caiso.com,false,""
2025-01-03T23:00:00.000000,USA,CAISO,US-CAL-CISO,152.92,207.88,67.19,52.59,caiso.com,false,""
2025-01-04T00:00:00.000000,USA,CAISO,US-CAL-CISO,194.64,255.67,58.82,43.02,caiso.com,false,""
2025-01-04T01:00:00.000000,USA,CAISO,US-CAL-CISO,194.22,254.77,58.32,43.53,caiso.com,false,""
2025-01-04T02:00:00.000000,USA,CAISO,US-CAL-CISO,195.89,256.92,57.91,43.35,caiso.com,false,""
2025-01-04T03:00:00.000000,USA,CAISO,US-CAL-CISO,202.83,264.93,56.95,42.34,caiso.com,false,""
2025-01-04T04:00:00.000000,USA,CAISO,US-CAL-CISO,200.43,262.25,57.3,42.22,caiso.com,false,""
2025-01-04T05:00:00.000000,USA,CAISO,US-CAL-CISO,193.47,254.31,58.26,43.05,caiso.com,false,""
2025-01-04T06:00:00.000000,USA,CAISO,US-CAL-CISO,197.11,258.56,57.6,41.82,caiso.com,false,""
2025-01-04T07:00:00.000000,USA,CAISO,US-CAL-CISO,198.27,260.56,57.11,40.77,caiso.com,false,""
2025-01-04T08:00:00.000000,USA,CAISO,US-CAL-CISO,179.28,236.27,61.83,44.85,caiso.com,false,""
2025-01-04T09:00:00.000000,USA,CAISO,US-CAL-CISO,172.91,228.77,63.26,45.56,caiso.com,false,""
2025-01-04T10:00:00.000000,USA,CAISO,US-CAL-CISO,170.55,226.04,63.94,45.41,caiso.com,false,""
2025-01-04T11:00:00.000000,USA,CAISO,US-CAL-CISO,172.26,228.23,63.75,44.89,caiso.com,false,""
2025-01-04T12:00:00.000000,USA,CAISO,US-CAL-CISO,177.85,235.45,62.42,43.72,caiso.com,false,""
2025-01-04T13:00:00.000000,USA,CAISO,US-CAL-CISO,183.36,242.06,61.18,42.88,caiso.com,false,""
2025-01-04T14:00:00.000000,USA,CAISO,US-CAL-CISO,182.98,241.32,61.23,43.42,caiso.com,false,""
2025-01-04T15:00:00.000000,USA,CAISO,US-CAL-CISO,167.94,223.28,64.74,47.79,caiso.com,false,""
2025-01-04T16:00:00.000000,USA,CAISO,US-CAL-CISO,95.57,138.45,79.97,66.3,caiso.com,false,""
2025-01-04T17:00:00.000000,USA,CAISO,US-CAL-CISO,67.45,105.45,85.79,73.57,caiso.com,false,""
2025-01-04T18:00:00.000000,USA,CAISO,US-CAL-CISO,67.8,106.87,85.43,72.92,caiso.com,false,""
2025-01-04T19:00:00.000000,USA,CAISO,US-CAL-CISO,72.53,112.73,84.49,71.53,caiso.com,false,""
2025-01-04T20:00:00.000000,USA,CAISO,US-CAL-CISO,72.88,112.78,84.48,71.77,caiso.com,false,""
2025-01-04T21:00:00.000000,USA,CAISO,US-CAL-CISO,74.39,114.65,84.04,70.92,caiso.com,false,""
2025-01-04T22:00:00.000000,USA,CAISO,US-CAL-CISO,76.5,117.12,83.64,70.53,caiso.com,false,""
2025-01-04T23:00:00.000000,USA,CAISO,US-CAL-CISO,110.66,156.64,76.67,61.57,caiso.com,false,""
2025-01-05T00:00:00.000000,USA,CAISO,US-CAL-CISO,168.8,222.69,65.09,48.7,caiso.com,false,""
2025-01-05T01:00:00.000000,USA,CAISO,US-CAL-CISO,188.52,246.68,59.86,43.96,caiso.com,false,""
2025-01-05T02:00:00.000000,USA,CAISO,US-CAL-CISO,195.37,255.49,58.41,42.65,caiso.com,false,""
2025-01-05T03:00:00.000000,USA,CAISO,US-CAL-CISO,203.15,264.61,57.26,41.44,caiso.com,false,""
2025-01-05T04:00:00.000000,USA,CAISO,US-CAL-CISO,197.18,257.72,58.4,42.48,caiso.com,false,""
2025-01-05T05:00:00.000000,USA,CAISO,US-CAL-CISO,203.93,265.93,56.8,40.56,caiso.com,false,""
2025-01-05T06:00:00.000000,USA,CAISO,US-CAL-CISO,212.5,277.58,54.32,37.67,caiso.com,false,""
2025-01-05T07:00:00.000000,USA,CAISO,US-CAL-CISO,218.28,285.09,53.14,35.85,caiso.com,false,""
2025-01-05T08:00:00.000000,USA,CAISO,US-CAL-CISO,223.99,292.63,51.4,33.52,caiso.com,false,""
2025-01-05T09:00:00.000000,USA,CAISO,US-CAL-CISO,224.01,293.34,51.08,32.73,caiso.com,false,""
2025-01-05T10:00:00.000000,USA,CAISO,US-CAL-CISO,226.13,296.48,50.65,31.75,caiso.com,false,""
2025-01-05T11:00:00.000000,USA,CAISO,US-CAL-CISO,225.0,295.49,50.85,31.69,caiso.com,false,""
2025-01-05T12:00:00.000000,USA,CAISO,US-CAL-CISO,221.4,291.07,51.67,32.78,caiso.com,false,""
2025-01-05T13:00:00.000000,USA,CAISO,US-CAL-CISO,217.77,285.97,52.69,34.18,caiso.com,false,""
2025-01-05T14:00:00.000000,USA,CAISO,US-CAL-CISO,213.55,280.65,53.49,35.58,caiso.com,false,""
2025-01-05T15:00:00.000000,USA,CAISO,US-CAL-CISO,201.7,266.28,56.79,40.08,caiso.com,false,""
2025-01-05T16:00:00.000000,USA,CAISO,US-CAL-CISO,112.24,159.12,76.9,62.32,caiso.com,false,""
2025-01-05T17:00:00.000000,USA,CAISO,US-CAL-CISO,70.51,110.5,85.31,72.13,caiso.com,false,""
2025-01-05T18:00:00.000000,USA,CAISO,US-CAL-CISO,61.97,100.64,86.95,73.97,caiso.com,false,""
2025-01-05T19:00:00.000000,USA,CAISO,US-CAL-CISO,59.82,97.86,87.54,74.23,caiso.com,false,""
2025-01-05T20:00:00.000000,USA,CAISO,US-CAL-CISO,63.03,101.62,86.95,73.66,caiso.com,false,""
2025-01-05T21:00:00.000000,USA,CAISO,US-CAL-CISO,59.46,97.86,87.56,74.58,caiso.com,false,""
2025-01-05T22:00:00.000000,USA,CAISO,US-CAL-CISO,61.56,101.0,86.8,74.03,caiso.com,false,""
2025-01-05T23:00:00.000000,USA,CAISO,US-CAL-CISO,95.1,141.49,79.02,65.03,caiso.com,false,""
2025-01-06T00:00:00.000000,USA,CAISO,US-CAL-CISO,163.69,221.36,63.56,47.14,caiso.com,false,""
2025-01-06T01:00:00.000000,USA,CAISO,US-CAL-CISO,206.67,269.4,55.91,39.85,caiso.com,false,""
2025-01-06T02:00:00.000000,USA,CAISO,US-CAL-CISO,207.3,270.14,55.91,40.21,caiso.com,false,""
2025-01-06T03:00:00.000000,USA,CAISO,US-CAL-CISO,206.69,269.58,56.01,40.17,caiso.com,false,""
2025-01-06T04:00:00.000000,USA,CAISO,US-CAL-CISO,214.35,279.22,54.55,38.4,caiso.com,false,""
2025-01-06T05:00:00.000000,USA,CAISO,US-CAL-CISO,224.06,291.35,52.54,35.89,caiso.com,false,""
2025-01-06T06:00:00.000000,USA,CAISO,US-CAL-CISO,233.97,304.84,49.84,32.92,caiso.com,false,""
2025-01-06T07:00:00.000000,USA,CAISO,US-CAL-CISO,244.9,319.01,47.36,29.66,caiso.com,false,""
2025-01-06T08:00:00.000000,USA,CAISO,US-CAL-CISO,252.84,329.48,45.03,27.27,caiso.com,false,""
2025-01-06T09:00:00.000000,USA,CAISO,US-CAL-CISO,252.09,329.11,45.07,26.92,caiso.com,false,""
2025-01-06T10:00:00.000000,USA,CAISO,US-CAL-CISO,249.12,325.95,45.59,27.15,caiso.com,false,""
2025-01-06T11:00:00.000000,USA,CAISO,US-CAL-CISO,249.37,326.49,45.49,27.13,caiso.com,false,""
