Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01T00:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,306.14,368.84,45.63,7.37,pjm.com,false,""
2023-01-01T01:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,296.97,357.8,47.55,8.5,pjm.com,false,""
2023-01-01T02:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,291.99,351.59,48.73,8.6,pjm.com,false,""
2023-01-01T03:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,292.77,351.9,48.93,7.76,pjm.com,false,""
2023-01-01T04:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,288.46,345.71,50.5,8.43,pjm.com,false,""
2023-01-01T05:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,283.47,338.96,52.02,9.1,pjm.com,false,""
2023-01-01T06:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,277.0,331.31,53.24,9.71,pjm.com,false,""
2023-01-01T07:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,277.63,331.37,53.62,9.06,pjm.com,false,""
2023-01-01T08:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,281.98,336.65,52.67,7.9,pjm.com,false,""
2023-01-01T09:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,282.91,337.78,52.48,7.33,pjm.com,false,""
2023-01-01T10:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,279.03,333.37,53.1,7.49,pjm.com,false,""
2023-01-01T11:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,280.64,335.36,52.75,7.26,pjm.com,false,""
2023-01-01T12:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,283.79,339.92,51.64,7.0,pjm.com,false,""
2023-01-01T13:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,286.94,344.23,50.71,6.77,pjm.com,false,""
2023-01-01T14:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,286.54,343.74,50.89,7.04,pjm.com,false,""
2023-01-01T15:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,289.75,348.08,49.93,6.47,pjm.com,false,""
2023-01-01T16:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,291.28,350.47,49.26,6.18,pjm.com,false,""
2023-01-01T17:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,292.11,351.93,48.78,6.08,pjm.com,false,""
2023-01-01T18:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,292.9,353.1,48.44,5.85,pjm.com,false,""
2023-01-01T19:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,294.12,354.51,48.23,5.74,pjm.com,false,""
2023-01-01T20:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,296.33,357.57,47.45,5.09,pjm.com,false,""
2023-01-01T21:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,301.83,365.29,45.56,4.52,pjm.com,false,""
2023-01-01T22:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,298.29,362.37,45.5,6.4,pjm.com,false,""
2023-01-01T23:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,302.36,367.49,44.46,6.03,pjm.com,false,""
2023-01-02T00:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,301.53,366.5,44.6,5.9,pjm.com,false,""
2023-01-02T01:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,305.39,371.01,43.81,4.81,pjm.com,false,""
2023-01-02T02:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,304.45,369.05,44.53,4.32,pjm.com,false,""
2023-01-02T03:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,304.8,368.88,44.75,3.57,pjm.com,false,""
2023-01-02T04:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,303.36,365.98,45.84,3.25,pjm.com,false,""
2023-01-02T05:00:00.000000,USA,PJM Interconnection,US-MIDA-PJM,300.97,362.08,47.07,3.12,pjm.com,false,""
