Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01T00:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,107.6,140.8,83.76,74.25,eia.gov,false,""
2023-01-01T01:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,92.09,123.95,86.1,77.95,eia.gov,false,""
2023-01-01T02:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,94.14,125.65,86.16,78.09,eia.gov,false,""
2023-01-01T03:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,95.27,126.89,85.93,77.64,eia.gov,false,""
2023-01-01T04:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,96.1,127.94,85.66,76.97,eia.gov,false,""
2023-01-01T05:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,101.48,133.65,85.06,76.25,eia.gov,false,""
2023-01-01T06:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,116.05,149.41,83.23,73.83,eia.gov,false,""
2023-01-01T07:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,127.78,162.28,81.72,71.71,eia.gov,false,""
2023-01-01T08:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,144.39,180.5,79.4,67.91,eia.gov,false,""
2023-01-01T09:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,146.66,182.98,79.08,67.58,eia.gov,false,""
2023-01-01T10:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,150.29,186.69,78.82,66.98,eia.gov,false,""
2023-01-01T11:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,158.16,195.99,77.4,65.21,eia.gov,false,""
2023-01-01T12:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,153.38,191.39,77.61,65.38,eia.gov,false,""
2023-01-01T13:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,150.47,189.04,77.61,65.26,eia.gov,false,""
2023-01-01T14:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,138.66,176.49,79.0,67.24,eia.gov,false,""
2023-01-01T15:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,125.46,162.63,80.56,69.27,eia.gov,false,""
2023-01-01T16:00:00.000000,USA,Bonneville Power Administration,US-NW-BPAT,117.25,154.01,81.52,70.53,eia.gov,false,""
