Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,445.63,530.52,22.53,11.96,ercot.com,false,""
2025-01-01T01:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,426.68,506.01,26.47,15.81,ercot.com,false,""
2025-01-01T02:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,409.45,484.85,30.09,19.28,ercot.com,false,""
2025-01-01T03:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,382.98,455.46,33.7,22.74,ercot.com,false,""
2025-01-01T04:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,358.95,428.28,37.38,26.15,ercot.com,false,""
2025-01-01T05:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,339.23,404.84,41.17,29.81,ercot.com,false,""
2025-01-01T06:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,315.34,378.69,44.17,32.62,ercot.com,false,""
2025-01-01T07:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,304.72,366.77,45.73,34.08,ercot.com,false,""
2025-01-01T08:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,297.03,358.06,46.92,35.21,ercot.com,false,""
2025-01-01T09:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,299.94,361.43,46.42,34.67,ercot.com,false,""
2025-01-01T10:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,307.14,370.05,44.99,33.27,ercot.com,false,""
2025-01-01T11:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,320.01,385.16,42.64,31.16,ercot.com,false,""
2025-01-01T12:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,322.05,387.69,42.18,30.89,ercot.com,false,""
2025-01-01T13:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,332.76,400.17,40.41,29.1,ercot.com,false,""
2025-01-01T14:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,286.14,347.04,49.45,38.53,ercot.com,false,""
2025-01-01T15:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,215.35,265.83,62.92,52.15,ercot.com,false,""
2025-01-01T16:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,198.68,246.46,66.2,55.46,ercot.com,false,""
2025-01-01T17:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,205.27,254.33,64.93,54.01,ercot.com,false,""
2025-01-01T18:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,214.48,264.86,63.43,52.22,ercot.com,false,""
2025-01-01T19:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,216.88,267.27,63.37,52.05,ercot.com,false,""
2025-01-01T20:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,216.54,266.61,63.69,52.26,ercot.com,false,""
2025-01-01T21:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,219.61,270.74,62.61,51.07,ercot.com,false,""
2025-01-01T22:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,296.06,361.45,46.26,34.7,ercot.com,false,""
2025-01-01T23:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,429.52,510.15,25.37,13.6,ercot.com,false,""
2025-01-02T00:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,450.6,532.91,22.65,11.15,ercot.com,false,""
2025-01-02T01:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,447.03,528.24,23.62,12.66,ercot.com,false,""
2025-01-02T02:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,430.66,508.99,26.62,16.09,ercot.com,false,""
2025-01-02T03:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,416.96,491.75,29.92,19.4,ercot.com,false,""
2025-01-02T04:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,391.09,458.59,36.59,25.76,ercot.com,false,""
2025-01-02T05:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,337.08,396.99,45.21,34.21,ercot.com,false,""
2025-01-02T06:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,303.32,360.38,49.28,38.06,ercot.com,false,""
2025-01-02T07:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,282.41,337.8,51.74,40.49,ercot.com,false,""
2025-01-02T08:00:00.000000,USA,Electric Reliability Council of Texas,US-TEX-ERCO,282.11,337.54,51.73,40.48,ercot.com,false,""
